OBJECTID,PlotKey,RecKey,DateModified,FormType,FormDate,LineKey,Observer,Recorder,DataEntry,DataErrorChecking,SoilStabSubSurface,Notes,DateLoadedInDb,PrimaryKey,DBKey,created_user,created_date,last_edited_user,last_edited_date,GlobalID
55152,1804271138129750,18042712270746,10/2/2018 17:34:42,Soil,4/26/2018 0:00:00,,Ben Selig,Ben Selig,Ben Selig,Ben Selig,1,,2018-09-01,18042711381297502018-09-01,CO_UncompahgreFO_Intensification_2018_5-3b_02.mdb,DBROWNING,7/24/2019 16:37:19,DBROWNING,7/24/2019 16:37:19,{4DE4AB0F-AA46-4C96-B1C1-C7C332D2B48A}
55153,1804271248293828,1804271335194648,6/11/2018 18:49:03,Soil,4/27/2018 0:00:00,,Ben Selig,Ben Selig,Mira Fishman,Mira Fishman,1,,2018-09-01,18042712482938282018-09-01,CO_UncompahgreFO_Intensification_2018_5-3b_02.mdb,DBROWNING,7/24/2019 16:37:19,DBROWNING,7/24/2019 16:37:19,{5855AE0E-2A87-4B3F-A02D-0B184648CE1B}
55154,1804271406162698,1804271503346411,6/11/2018 18:51:50,Soil,4/27/2018 0:00:00,,Ben Selig,Ben Selig,Mira Fishman,Mira Fishman,1,,2018-09-01,18042714061626982018-09-01,CO_UncompahgreFO_Intensification_2018_5-3b_02.mdb,DBROWNING,7/24/2019 16:37:19,DBROWNING,7/24/2019 16:37:19,{59971C79-1A08-4606-9B76-215FF773C1B2}
55155,180501132627183,1805020656237136,6/11/2018 18:34:24,Soil,5/1/2018 0:00:00,,Mira Fishman,Mira Fishman,Mira Fishman,Mira Fishman,1,,2018-09-01,1805011326271832018-09-01,CO_UncompahgreFO_Intensification_2018_5-3b_02.mdb,DBROWNING,7/24/2019 16:37:19,DBROWNING,7/24/2019 16:37:19,{60CE6890-DD95-4C0E-A170-FF38E96536B9}
55156,1805020708483638,1805020807184172,10/10/2018 10:47:41,Soil,4/30/2018 0:00:00,,Mira Fishman,Mira Fishman,Mira Fishman,Mira Fishman,1,,2018-09-01,18050207084836382018-09-01,CO_UncompahgreFO_Intensification_2018_5-3b_02.mdb,DBROWNING,7/24/2019 16:37:19,DBROWNING,7/24/2019 16:37:19,{515042B4-F58F-4C54-A01B-9FB5388F4E90}
55157,1805010903352983,1805020838522031,10/9/2018 9:12:42,Soil,5/1/2018 0:00:00,,Ben Selig,Ben Selig,Ben Selig,Mira Fishman,1,,2018-09-01,18050109033529832018-09-01,CO_UncompahgreFO_Intensification_2018_5-3b_02.mdb,DBROWNING,7/24/2019 16:37:19,DBROWNING,7/24/2019 16:37:19,{0573FB0B-72D4-4757-8F05-EEBA53BD6576}
55158,1805020900055442,1805021022182519,10/10/2018 11:01:49,Soil,4/30/2018 0:00:00,,Ben Selig,Ben Selig,Ben Selig,Mira Fishman,1,,2018-09-01,18050209000554422018-09-01,CO_UncompahgreFO_Intensification_2018_5-3b_02.mdb,DBROWNING,7/24/2019 16:37:19,DBROWNING,7/24/2019 16:37:19,{9BF52F69-E3E4-4261-B68D-983C37952F1F}
55159,1805221620308148,1805221741302156,10/10/2018 14:51:05,Soil,5/22/2018 0:00:00,,Ben Selig,Ben Selig,Ben Selig,Mira Fishman,1,,2018-09-01,18052216203081482018-09-01,CO_UncompahgreFO_Intensification_2018_5-3b_02.mdb,DBROWNING,7/24/2019 16:37:19,DBROWNING,7/24/2019 16:37:19,{CC5ACDB2-B35A-4DA6-B584-73BECEDA1B4A}
55160,1805210726079114,1805221838003089,6/11/2018 18:40:48,Soil,5/7/2018 0:00:00,,Ben Selig,Ben Selig,Ben Selig,Mira Fishman,1,,2018-09-01,18052107260791142018-09-01,CO_UncompahgreFO_Intensification_2018_5-3b_02.mdb,DBROWNING,7/24/2019 16:37:19,DBROWNING,7/24/2019 16:37:19,{5592DA42-F5E7-4937-BAE9-A27B953476E5}
55161,1805080936374187,1805232042089050,10/10/2018 8:31:10,Soil,5/8/2018 0:00:00,,Mira Fishman,Mira Fishman,Mira Fishman,Mira Fishman,1,,2018-09-01,18050809363741872018-09-01,CO_UncompahgreFO_Intensification_2018_5-3b_02.mdb,DBROWNING,7/24/2019 16:37:19,DBROWNING,7/24/2019 16:37:19,{D15786F6-D77A-4C26-9014-DE3248BF3971}
55162,1805240816286010,1805240827394943,10/10/2018 14:08:51,Soil,5/23/2018 0:00:00,,Ben Selig,Ben Selig,Ben Selig,Mira Fishman,1,,2018-09-01,18052408162860102018-09-01,CO_UncompahgreFO_Intensification_2018_5-3b_02.mdb,DBROWNING,7/24/2019 16:37:19,DBROWNING,7/24/2019 16:37:19,{54977059-293E-46F0-99D0-D0080330453E}
55163,180524092738255,1805240937445575,6/10/2018 21:08:28,Soil,5/23/2018 0:00:00,,Ben Selig,Ben Selig,Ben Selig,Mira Fishman,1,,2018-09-01,1805240927382552018-09-01,CO_UncompahgreFO_Intensification_2018_5-3b_02.mdb,DBROWNING,7/24/2019 16:37:19,DBROWNING,7/24/2019 16:37:19,{3F5610FE-88FD-4B27-AAA4-252D3AA1C49D}
55164,1805241030572554,1805241050562401,6/11/2018 15:19:28,Soil,5/24/2018 0:00:00,,Ben Selig,Ben Selig,Ben Selig,Mira Fishman,1,,2018-09-01,18052410305725542018-09-01,CO_UncompahgreFO_Intensification_2018_5-3b_02.mdb,DBROWNING,7/24/2019 16:37:19,DBROWNING,7/24/2019 16:37:19,{E1150FED-8E7E-45F6-8837-9D7985F76B9C}
55165,180524115909749,1805241207008385,10/10/2018 7:52:49,Soil,5/17/2018 0:00:00,,Ben Selig,Ben Selig,Ben Selig,Mira Fishman,1,,2018-09-01,1805241159097492018-09-01,CO_UncompahgreFO_Intensification_2018_5-3b_02.mdb,DBROWNING,7/24/2019 16:37:19,DBROWNING,7/24/2019 16:37:19,{455FE35E-C7DE-4F5B-AB4F-2C02C41A0D7B}
55166,1805300953482450,1805301003253790,10/9/2018 8:04:34,Soil,5/17/2018 0:00:00,,Ben Selig,Ben Selig,Ben Selig,Mira Fishman,1,,2018-09-01,18053009534824502018-09-01,CO_UncompahgreFO_Intensification_2018_5-3b_02.mdb,DBROWNING,7/24/2019 16:37:19,DBROWNING,7/24/2019 16:37:19,{29E74D87-1545-45BB-900B-CEE045B2E725}
55167,1805091400447045,1805301103304292,6/10/2018 20:57:05,Soil,5/9/2018 0:00:00,,Ben Selig,Ben Selig,Ben Selig,Mira Fishman,1,,2018-09-01,18050914004470452018-09-01,CO_UncompahgreFO_Intensification_2018_5-3b_02.mdb,DBROWNING,7/24/2019 16:37:19,DBROWNING,7/24/2019 16:37:19,{230330CA-A5CF-4F71-B432-57B126985E60}
55168,1805241241002854,1805301107592779,6/11/2018 18:28:41,Soil,5/17/2018 0:00:00,,Ben Selig,Ben Selig,Ben Selig,Mira Fishman,1,,2018-09-01,18052412410028542018-09-01,CO_UncompahgreFO_Intensification_2018_5-3b_02.mdb,DBROWNING,7/24/2019 16:37:19,DBROWNING,7/24/2019 16:37:19,{56E395CC-CB23-453C-9C63-95E95E40481C}
55169,180510113805258,1805301114385753,6/10/2018 21:15:34,Soil,5/10/2018 0:00:00,,Ben Selig,Ben Selig,Ben Selig,Mira Fishman,1,,2018-09-01,1805101138052582018-09-01,CO_UncompahgreFO_Intensification_2018_5-3b_02.mdb,DBROWNING,7/24/2019 16:37:19,DBROWNING,7/24/2019 16:37:19,{090E65CD-FCCD-4F72-87E5-84E4E9F5074F}
55170,1805081342471749,1805301128456080,10/10/2018 11:35:11,Soil,5/8/2018 0:00:00,,Ben Selig,Ben Selig,Ben Selig,Mira Fishman,1,,2018-09-01,18050813424717492018-09-01,CO_UncompahgreFO_Intensification_2018_5-3b_02.mdb,DBROWNING,7/24/2019 16:37:19,DBROWNING,7/24/2019 16:37:19,{198D10A7-DF4D-4454-85D7-6A34ED2F7D38}
55171,1805100911513202,1805301248523128,10/10/2018 14:32:11,Soil,5/10/2018 0:00:00,,Ben Selig,Ben Selig,Ben Selig,Mira Fishman,1,,2018-09-01,18051009115132022018-09-01,CO_UncompahgreFO_Intensification_2018_5-3b_02.mdb,DBROWNING,7/24/2019 16:37:19,DBROWNING,7/24/2019 16:37:19,{6D761A25-CB5D-407F-AE3C-EF97F732F17B}
55172,1805090943322055,1805301256332307,10/10/2018 14:34:43,Soil,5/9/2018 0:00:00,,Ben Selig,Ben Selig,Ben Selig,Mira Fishman,1,,2018-09-01,18050909433220552018-09-01,CO_UncompahgreFO_Intensification_2018_5-3b_02.mdb,DBROWNING,7/24/2019 16:37:19,DBROWNING,7/24/2019 16:37:19,{73BD9A0B-0137-4EE9-BCB3-D50F62A8284F}
55173,1805071220449070,1805301311358420,6/11/2018 18:56:18,Soil,5/7/2018 0:00:00,,Ben Selig,Ben Selig,Ben Selig,Mira Fishman,1,,2018-09-01,18050712204490702018-09-01,CO_UncompahgreFO_Intensification_2018_5-3b_02.mdb,DBROWNING,7/24/2019 16:37:19,DBROWNING,7/24/2019 16:37:19,{5018B4B3-F1A4-472A-9554-8EF00EFB45E1}
55174,1805070940359040,1805301336247023,6/11/2018 18:54:02,Soil,5/7/2018 0:00:00,,Ben Selig,Ben Selig,Ben Selig,Mira Fishman,1,,2018-09-01,18050709403590402018-09-01,CO_UncompahgreFO_Intensification_2018_5-3b_02.mdb,DBROWNING,7/24/2019 16:37:19,DBROWNING,7/24/2019 16:37:19,{B67A8F2A-F5A9-4F92-9F17-40A9BE156237}
55175,180529142927153,1805301400225366,10/10/2018 14:20:21,Soil,5/28/2018 0:00:00,,Ben Selig,Ben Selig,Ben Selig,Mira Fishman,1,,2018-09-01,1805291429271532018-09-01,CO_UncompahgreFO_Intensification_2018_5-3b_02.mdb,DBROWNING,7/24/2019 16:37:19,DBROWNING,7/24/2019 16:37:19,{6EF423A8-55C7-4268-B003-36E4D2A4F6AE}
55176,1805291022486701,180530141513221,10/10/2018 7:56:16,Soil,5/29/2018 0:00:00,,Ben Selig,Ben Selig,Ben Selig,Mira Fishman,1,,2018-09-01,18052910224867012018-09-01,CO_UncompahgreFO_Intensification_2018_5-3b_02.mdb,DBROWNING,7/24/2019 16:37:19,DBROWNING,7/24/2019 16:37:19,{26F67947-5733-4167-BFCD-A90D5A78AC15}
